layer,neuron,change_score
30,12012,1.7644513845443726
31,12119,1.7635736465454102
31,10094,1.761466145515442
31,10131,1.7599573135375977
30,10343,1.7592713832855225
31,11541,1.7578647136688232
30,3673,1.7565323114395142
31,12910,1.7505595684051514
30,1617,1.7497702836990356
31,7831,1.7448227405548096
31,11695,1.737153172492981
31,9119,1.7321254014968872
31,1739,1.7289305925369263
31,12226,1.7282593250274658
31,963,1.7259224653244019
31,11244,1.7254273891448975
31,13801,1.722579002380371
30,9761,1.7204222679138184
30,1552,1.7189710140228271
31,5345,1.716881513595581
31,4243,1.7166857719421387
31,8193,1.7134531736373901
31,12529,1.7120290994644165
31,3210,1.709193229675293
30,14008,1.7088103294372559
30,9257,1.7081754207611084
31,11488,1.7070480585098267
31,7309,1.7036678791046143
31,9091,1.7032188177108765
31,2207,1.7030373811721802
31,3971,1.6986877918243408
31,6109,1.6958366632461548
31,7784,1.6957042217254639
31,12668,1.6954118013381958
31,14276,1.695398211479187
31,10389,1.6914571523666382
30,7985,1.6909520626068115
31,12358,1.6909310817718506
30,10265,1.6908361911773682
31,154,1.6899175643920898
31,1519,1.6892560720443726
30,6816,1.6825371980667114
31,5283,1.6765546798706055
30,6772,1.676186442375183
31,9818,1.6757473945617676
31,4661,1.6747233867645264
31,3023,1.673004388809204
30,635,1.6718649864196777
30,9382,1.671615719795227
31,2012,1.6710407733917236
30,12689,1.6704249382019043
31,289,1.6676312685012817
31,12360,1.6646088361740112
30,13584,1.6638504266738892
31,10542,1.6619855165481567
30,5905,1.6616113185882568
31,996,1.6613266468048096
30,7549,1.660888433456421
31,5883,1.659179449081421
31,11085,1.6588269472122192
31,4198,1.6581110954284668
31,11410,1.654977560043335
30,7076,1.654374599456787
31,13788,1.6528264284133911
31,7438,1.6510790586471558
30,1369,1.6492406129837036
31,10697,1.6476240158081055
30,9044,1.6459486484527588
31,5617,1.6423999071121216
31,9272,1.6418904066085815
31,8320,1.6412020921707153
30,8392,1.6384992599487305
31,3268,1.637843132019043
30,1994,1.6374156475067139
30,3833,1.636476755142212
30,7322,1.6304529905319214
31,3252,1.6287063360214233
31,10715,1.6280772686004639
31,4436,1.6271731853485107
30,1914,1.6261464357376099
31,4179,1.625905156135559
30,12495,1.6249675750732422
30,4664,1.6238462924957275
31,7684,1.6229298114776611
31,3540,1.6204711198806763
31,13995,1.6203186511993408
30,9833,1.6174635887145996
30,711,1.6168991327285767
31,3583,1.6132127046585083
31,8607,1.6125998497009277
31,9465,1.6090197563171387
31,5562,1.6088234186172485
30,1548,1.6082192659378052
30,841,1.6054909229278564
31,10452,1.60154390335083
30,3434,1.595949649810791
31,11638,1.5936474800109863
30,2780,1.5925843715667725
30,6275,1.591302752494812
31,7450,1.5908581018447876
31,552,1.5880770683288574
30,934,1.5860496759414673
30,936,1.5855963230133057
30,1144,1.5804951190948486
31,10436,1.5790570974349976
31,5371,1.5789119005203247
31,5913,1.5786247253417969
31,4229,1.5768762826919556
30,12463,1.575412631034851
31,10716,1.5752605199813843
31,7673,1.5737100839614868
31,10180,1.5736806392669678
31,7104,1.5732529163360596
30,11898,1.5699834823608398
31,374,1.5681352615356445
31,2199,1.5663102865219116
30,6083,1.5650227069854736
31,1945,1.5639212131500244
31,1637,1.5637608766555786
31,1654,1.5635908842086792
30,1307,1.5615546703338623
31,6345,1.560817003250122
31,4669,1.560804009437561
31,11929,1.55910325050354
30,8698,1.5589063167572021
30,13356,1.5587762594223022
31,13292,1.554980754852295
